Platform,Segment,Type,Keyword,Country,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous URL inside,Previous URL,Current URL inside,Current URL,Previous date,Current date,Branded,Local,Navigational,Informational,Commercial,Transactional
Fortinet,Informational + Branded,Loss,fortianalyzer,US,"Featured snippet, People also ask, Video preview",1300,3,3.6,948,47,-900,0,1,2,-1,,https://www.fortinet.com/products/management/fortianalyzer,,https://www.fortinet.com/products/management/fortianalyzer,2025-01-28 6:08:34,2025-07-27 4:47:59,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Branded,Loss,forticlient vpn,US,"Sitelinks, People also ask, Video preview",7900,15,0.99,6234,5704,-530,0,1,1,,,https://www.fortinet.com/support/product-downloads,,https://www.fortinet.com/support/product-downloads,2025-01-28 5:48:42,2025-07-29 0:05:56,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Informational + Branded,Loss,fortigate,US,"Top ads, Paid sitelinks, Sitelinks, People also ask, Shopping, Thumbnail, Video preview, Top stories, Bottom ads",7600,26,2.54,4827,4462,-365,81,1,1,,,https://www.fortinet.com/products/next-generation-firewall,,https://www.fortinet.com/products/next-generation-firewall,2025-01-29 5:26:59,2025-07-28 14:49:49,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Fortinet,Informational + Branded,Loss,forticloud,US,"Sitelinks, People also ask, Video preview",4300,0,3.8,173,7,-166,0,2,3,-1,,https://support.fortinet.com/welcome/,,https://docs.fortinet.com/forticloud-landing,2025-01-29 11:10:34,2025-07-22 23:34:23,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Informational + Branded,Loss,fortiwlc,US,"Sitelinks, People also ask, Video preview",150,0,,159,8,-151,0,1,2,-1,,https://docs.fortinet.com/product/wireless-controller,,https://docs.fortinet.com/document/wireless-controller/8.6.3/fortiwlc-virtual-controller-deployment-guide/418401/about-fortiwlc-virtual-controllers,2025-01-14 8:50:46,2025-07-08 16:53:06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Branded,Loss,fortigate 100f,US,"Shopping Ads, Thumbnail, Knowledge panel, People also ask, Discussions and forums, Video preview, Sitelinks, Knowledge card",1200,0,1.61,642,502,-140,0,1,1,,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-100f-series.pdf,,https://www.fortinet.com/resources/data-sheets/fortigate-100f-series,2025-01-26 8:28:34,2025-07-28 16:07:05,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Fortinet,Informational + Branded,Loss,fortinet vpn client,US,"Sitelinks, People also ask, Video preview",700,19,4.22,586,471,-115,0,1,1,,,https://www.fortinet.com/support/product-downloads,,https://www.fortinet.com/support/product-downloads,2025-01-24 11:13:43,2025-07-13 18:56:35,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Informational + Branded,Loss,fortigate 40f,US,"People also ask, Sitelinks, Discussions and forums, Video preview, Knowledge card, Knowledge panel",1400,0,2.25,648,536,-111,0,1,1,,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-fortiwifi-40f-series.pdf,,https://www.fortinet.com/resources/data-sheets/fortigate-fortiwifi-40f-series,2025-01-25 15:44:33,2025-07-28 2:26:10,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Fortinet,Informational + Branded,Loss,fortigate 70f,US,"People also ask, Sitelinks, Knowledge panel, Discussions and forums, Video preview, Knowledge card",300,0,1.91,132,26,-106,0,1,7,-6,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/fortigate-70f-series.pdf,Discussions and forums,https://community.fortinet.com/t5/Support-Forum/ICAP-Support-on-the-Fortigate-70f/m-p/376253,2025-01-12 12:47:13,2025-06-24 23:25:38,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Fortinet,Informational + Branded,Loss,fortigate 90g,US,"People also ask, Knowledge panel, Discussions and forums, Video preview, Sitelinks, Knowledge card",700,1,2.44,350,272,-77,0,1,1,,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-fortiwifi-90g-series.pdf,,https://www.fortinet.com/resources/data-sheets/fortigate-fortiwifi-90g-series,2025-01-29 15:56:30,2025-07-24 10:34:13,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Fortinet,Informational + Non Branded,Gain,https,US,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview, Knowledge panel",150000,74,0.06,2612,8802,6190,0,8,6,2,,https://www.fortinet.com/resources/cyberglossary/what-is-https,,https://www.fortinet.com/resources/cyberglossary/what-is-https,2025-01-28 11:57:31,2025-07-28 21:56:37,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Gain,sase,US,"AI Overview, Thumbnail, Sitelinks, People also ask, Top stories, Video preview, Bottom ads, Paid sitelinks, Knowledge panel",19000,63,5.31,4350,8700,4350,0,1,2,-1,,https://www.fortinet.com/resources/cyberglossary/sase,,https://www.fortinet.com/resources/cyberglossary/sase,2025-01-29 19:47:15,2025-07-22 6:39:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Gain,cybersecurity,US,"AI Overview, Thumbnail, Sitelinks, People also ask, Top stories, Video preview, Knowledge panel",124000,89,0.81,0,4302,4302,0,35,1,34,,https://www.fortinet.com/resources/cyberglossary/what-is-cybersecurity,AI Overview,https://www.fortinet.com/resources/cyberglossary/what-is-cybersecurity,2025-01-29 12:59:37,2025-07-22 4:59:39,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Gain,lacework,US,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",5900,22,4.72,10,3830,3821,0,3,1,2,,https://www.fortinet.com/products/forticnapp,AI Overview,https://www.fortinet.com/products/forticnapp,2025-01-29 12:20:51,2025-07-26 9:22:20,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Gain,cyber attack,US,"Top stories, Thumbnail, People also ask, Video preview, Knowledge panel",67000,81,,389,3590,3201,0,16,6,10,,https://www.fortinet.com/resources/cyberglossary/what-is-cyber-attack,,https://www.fortinet.com/resources/cyberglossary/what-is-cyber-attack,2025-01-29 9:47:09,2025-07-29 0:59:52,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Gain,how does vpn work,US,"AI Overview, Thumbnail, People also ask, Sitelinks, Top stories, Video preview",5000,40,1.69,313,3480,3167,0,3,2,1,,https://www.fortinet.com/resources/cyberglossary/how-does-vpn-work,,https://www.fortinet.com/resources/cyberglossary/how-does-vpn-work,2025-01-28 21:24:27,2025-07-28 20:19:38,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Gain,laceworks,US,"People also ask, Sitelinks, Video preview",1800,22,4.72,92,1854,1762,0,2,1,1,,https://www.fortinet.com/corporate/about-us/newsroom/press-releases/2024/fortinet-to-acquire-lacework,,https://www.fortinet.com/products/forticnapp,2025-01-28 18:01:10,2025-07-14 6:05:44,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Gain,laceworks,US,"People also ask, Sitelinks, Video preview",1800,22,5.02,93,1856,1764,0,2,1,1,,https://www.fortinet.com/corporate/about-us/newsroom/press-releases/2024/fortinet-to-acquire-lacework,,https://www.fortinet.com/products/forticnapp,2025-01-28 18:01:10,2025-07-14 6:05:44,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Gain,what is an ip address,US,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",22000,44,0.02,374,1779,1405,0,3,1,2,,https://www.fortinet.com/resources/cyberglossary/what-is-ip-address,AI Overview,https://www.fortinet.com/resources/cyberglossary/what-is-ip-address,2025-01-29 22:50:16,2025-07-28 6:23:29,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Gain,sso,US,"AI Overview, People also ask, Discussions and forums, Sitelinks, Top stories, Thumbnail, Video preview, Knowledge panel",79000,62,2.17,102,1492,1389,0,12,6,6,,https://www.fortinet.com/resources/cyberglossary/single-sign-on,People also ask,https://www.fortinet.com/resources/cyberglossary/single-sign-on,2025-01-29 23:22:34,2025-07-25 10:18:31,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Loss,malware,US,"AI Overview, Thumbnail, Sitelinks, People also ask, Top stories, Video preview, Knowledge panel",58000,82,1.79,17686,120,-17566,0,1,9,-8,Featured snippet,https://www.fortinet.com/resources/cyberglossary/malware,,https://www.fortinet.com/resources/cyberglossary/malware,2025-01-29 19:36:47,2025-07-28 11:23:44,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Loss,ddos,US,"AI Overview, Thumbnail, People also ask, Sitelinks, Top stories, Video preview, Knowledge panel",58000,68,2.92,13624,511,-13114,0,1,2,-1,Featured snippet,https://www.fortinet.com/resources/cyberglossary/ddos-attack,People also ask,https://www.fortinet.com/resources/cyberglossary/ddos-attack,2025-01-29 11:08:32,2025-07-28 22:28:21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Loss,tcp,US,"AI Overview, Thumbnail, Sitelinks, People also ask, Top stories, Video preview, Knowledge panel",36000,66,0.07,9210,127,-9082,0,1,1,,AI Overview,https://www.fortinet.com/resources/cyberglossary/tcp-ip,AI Overview,https://www.fortinet.com/resources/cyberglossary/tcp-ip,2025-01-29 13:40:13,2025-07-28 6:27:05,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Loss,pgp,US,"AI Overview, Thumbnail, Sitelinks, People also ask, Top stories, Video preview, Knowledge panel",13000,39,1.23,8682,0,-8682,0,1,3,-2,Featured snippet,https://www.fortinet.com/resources/cyberglossary/pgp-encryption,People also ask,https://www.fortinet.com/resources/cyberglossary/pgp-encryption,2025-01-29 22:59:52,2025-07-27 15:04:36,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Loss,icmp,US,"AI Overview, Thumbnail, People also ask, Top stories, Sitelinks, Video preview, Knowledge panel",17000,39,0.13,5629,43,-5585,0,1,1,,Featured snippet,https://www.fortinet.com/resources/cyberglossary/internet-control-message-protocol-icmp,AI Overview,https://www.fortinet.com/resources/cyberglossary/internet-control-message-protocol-icmp,2025-01-28 13:29:30,2025-07-28 11:55:34,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Loss,firmware,US,"AI Overview, Thumbnail, Sitelinks, People also ask, Video preview, Knowledge panel",21000,34,0.1,4234,611,-3623,0,1,3,-2,Featured snippet,https://www.fortinet.com/resources/cyberglossary/what-is-firmware,People also ask,https://www.fortinet.com/resources/cyberglossary/what-is-firmware,2025-01-28 4:36:06,2025-07-25 9:38:28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Loss,drm,US,"AI Overview, Thumbnail, People also ask, Video preview, Knowledge panel",26000,43,1.12,3649,841,-2808,0,1,1,,AI Overview,https://www.fortinet.com/resources/cyberglossary/digital-rights-management-drm,AI Overview,https://www.fortinet.com/resources/cyberglossary/digital-rights-management-drm,2025-01-28 13:26:55,2025-07-28 9:26:04,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Loss,botnet,US,"Knowledge card, People also ask, Top stories, Thumbnail, Video preview, Knowledge panel",9700,44,3.38,2659,32,-2628,0,1,5,-4,Featured snippet,https://www.fortinet.com/resources/cyberglossary/what-is-botnet,,https://www.fortinet.com/resources/cyberglossary/what-is-botnet,2025-01-28 13:18:58,2025-07-28 2:04:42,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Loss,ddos meaning,US,"AI Overview, Thumbnail, People also ask, Video preview, Sitelinks",16000,63,0.49,2611,367,-2244,0,1,1,,Featured snippet,https://www.fortinet.com/resources/cyberglossary/ddos-attack,AI Overview,https://www.fortinet.com/uk/resources/cyberglossary/ddos-attack,2025-01-29 6:19:37,2025-07-29 5:06:23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Informational + Non Branded,Loss,catfishing meaning,US,"Featured snippet, Thumbnail, Knowledge card, People also ask, Sitelinks, Video preview",12000,31,0.02,2276,93,-2183,0,1,5,-4,Featured snippet,https://www.fortinet.com/resources/cyberglossary/catfishing,,https://www.fortinet.com/resources/cyberglossary/catfishing,2025-01-29 1:14:32,2025-07-27 7:59:31,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Fortinet,Navigational + Branded,Gain,forticlient download,US,"Sitelinks, Video preview",4400,22,0.22,4710,8265,3555,0,1,1,,,https://www.fortinet.com/support/product-downloads,,https://www.fortinet.com/support/product-downloads,2025-01-29 13:59:19,2025-07-29 0:06:47,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Branded,Gain,fortinet support,US,"Knowledge panel, Sitelinks, People also ask, Video preview",3000,16,0.96,2456,4899,2443,0,1,1,,,https://support.fortinet.com/welcome/,,https://support.fortinet.com/welcome/,2025-01-28 11:38:05,2025-07-20 5:06:49,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Navigational + Branded,Gain,forticloud login,US,Sitelinks,900,0,5,205,243,38,0,2,2,,,https://support.fortinet.com/welcome/,,https://support.fortinet.com/welcome/,2025-01-26 16:06:01,2025-07-23 6:01:04,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Branded,Gain,forti support,US,"People also ask, Sitelinks, Knowledge panel, Video preview",70,21,,34,51,17,0,1,1,,,https://support.fortinet.com/welcome/,,https://support.fortinet.com/welcome/,2025-01-09 20:44:16,2025-06-21 5:24:50,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Navigational + Branded,Gain,fortinet blog,US,"Sitelinks, People also ask, Video preview",100,46,3.81,65,72,7,0,1,1,,,https://www.fortinet.com/blog,,https://www.fortinet.com/blog,2025-01-05 17:47:24,2025-06-13 7:16:10,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Navigational + Branded,Gain,fortinet firmware download,US,"Sitelinks, AI Overview, Video preview, People also ask",200,0,,145,151,6,0,1,1,,,https://support.fortinet.com/download/firmwareimages.aspx,,https://training.fortinet.com/my/,2025-01-24 8:58:08,2025-07-11 7:06:22,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Branded,Gain,forticlient vpn only download,US,"Sitelinks, Video preview",70,10,,37,41,4,0,1,1,,,https://www.fortinet.com/support/product-downloads,,https://www.fortinet.com/support/product-downloads,2025-01-09 0:38:02,2025-07-16 3:26:27,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Branded,Gain,fortigate downloads,US,"Sitelinks, Video preview",30,15,0,15,18,4,0,1,1,,,https://www.fortinet.com/support/product-downloads,,https://www.fortinet.com/support/product-downloads,2025-01-20 9:33:28,2025-07-03 1:47:57,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Branded,Gain,fortinet software download,US,"Sitelinks, Video preview",20,28,,16,18,2,0,1,1,,,https://www.fortinet.com/support/product-downloads,,https://www.fortinet.com/support/product-downloads,2025-01-21 8:10:58,2025-07-08 3:59:50,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Branded,Gain,fortinet deal registration,US,"Sitelinks, Video preview",40,3,,19,21,2,0,1,1,,,https://partnerportal.fortinet.com/,,https://partnerportal.fortinet.com/,2025-01-27 3:46:31,2025-07-22 19:00:12,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Fortinet,Navigational + Branded,Loss,forticlient vpn,US,"Sitelinks, People also ask, Video preview",7900,15,0.99,6234,5704,-530,0,1,1,,,https://www.fortinet.com/support/product-downloads,,https://www.fortinet.com/support/product-downloads,2025-01-28 05:48:42,2025-07-29 00:05:56,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Navigational + Branded,Loss,forticlient vpn download,US,"Sitelinks, People also ask, Video preview",6800,13,3.33,3599,3121,-477,0,1,1,,,https://www.fortinet.com/support/product-downloads,,https://www.fortinet.com/support/product-downloads,2025-01-28 20:59:15,2025-07-29 05:19:11,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Branded,Loss,forticloud,US,"Sitelinks, People also ask, Video preview",4300,0,3.8,173,7,-166,0,2,3,-1,,https://support.fortinet.com/welcome/,,https://docs.fortinet.com/forticloud-landing,2025-01-29 11:10:34,2025-07-22 23:34:23,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Navigational + Branded,Loss,fortinet vpn client,US,"Sitelinks, People also ask, Video preview",700,19,4.22,586,471,-115,0,1,1,,,https://www.fortinet.com/support/product-downloads,,https://www.fortinet.com/support/product-downloads,2025-01-24 11:13:43,2025-07-13 18:56:35,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Navigational + Branded,Loss,fortinet vpn download,US,"Sitelinks, People also ask, Video preview",500,21,4.85,276,226,-50,0,1,1,,,https://www.fortinet.com/support/product-downloads,,https://www.fortinet.com/support/product-downloads,2025-01-25 01:08:54,2025-07-08 01:45:48,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Branded,Loss,fortigate login,US,"People also ask, Discussions and forums, Video preview",200,6,5.82,52,24,-27,0,1,3,-2,,https://support.fortinet.com/welcome/,,https://support.fortinet.com/welcome/,2025-01-15 05:09:33,2025-06-29 06:15:16,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Navigational + Branded,Loss,fortinet download,US,"Sitelinks, People also ask, Video preview",600,33,4.34,428,404,-24,0,1,1,,,https://www.fortinet.com/support/product-downloads,,https://www.fortinet.com/support/product-downloads,2025-01-26 00:08:46,2025-07-23 08:07:39,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Branded,Loss,fortinet support portal,US,"People also ask, Sitelinks, Video preview",300,25,0.1,259,248,-11,0,1,1,,,https://support.fortinet.com/welcome/,,https://support.fortinet.com/welcome/,2025-01-11 02:09:54,2025-07-24 09:45:25,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Navigational + Branded,Loss,support fortinet,US,"People also ask, Knowledge panel, Video preview, Sitelinks",50,39,5,48,37,-10,0,1,1,,,https://support.fortinet.com/welcome/,,https://support.fortinet.com/welcome/,2025-01-24 15:57:12,2025-07-09 09:48:58,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Navigational + Branded,Loss,support.fortinet,US,"People also ask, Knowledge panel, Sitelinks, Video preview",150,48,2.33,157,149,-8,0,1,1,,,https://support.fortinet.com/welcome/,,https://support.fortinet.com/welcome/,2025-01-11 21:16:28,2025-07-25 08:32:12,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Navigational + Non branded,Gain,sso id login,US,"People also ask, Sitelinks, Video preview",450,68,1.44,33,41,8,0,5,4,1,,https://www.fortinet.com/resources/cyberglossary/single-sign-on,,https://www.fortinet.com/resources/cyberglossary/single-sign-on,2025-01-25 7:45:37,2025-07-11 6:33:33,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Non branded,Gain,pelink 2,US,Sitelinks,200,54,,1,9,8,0,17,7,10,,https://docs.fortinet.com/document/fortigate/7.0.0/secgw-for-mobile-networks-deployment/648971/rekeying-and-key-lifetime,,https://docs.fortinet.com/document/fortigate/7.2.0/secgw-for-mobile-networks-deployment/533584/pe-to-pe-link,2025-01-16 16:31:28,2025-07-01 9:21:56,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Navigational + Non branded,Gain,sso login,US,,19000,56,2.17,0,564,564,0,59,8,51,,https://support.fortinet.com/credentials/SSO/login.ashx,,https://www.fortinet.com/resources/cyberglossary/single-sign-on,2025-01-28 22:27:25,2025-07-24 22:17:17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Non branded,Gain,sci hub se,US,"Discussions and forums, People also ask, Video preview",1300,34,1.09,,6,,0,,18,New,,,,https://community.fortinet.com/t5/Support-Forum/Access-the-site-sci-hub-se-issue/m-p/374284,,2025-07-26 6:38:05,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Navigational + Non branded,Gain,partner portal v2,US,Sitelinks,500,15,6.32,3,17,14,0,16,8,8,,https://partnerportal.fortinet.com/,,https://partnerportal.fortinet.com/,2025-01-16 22:21:15,2025-07-27 7:12:58,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Non branded,Gain,192.168.1.250.,US,"Sitelinks, Discussions and forums, Video preview",300,0,0.15,,12,,0,,5,New,,,Discussions and forums,https://community.fortinet.com/t5/Support-Forum/Virtual-IP-not-working/m-p/250000,,2025-07-04 7:52:39,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Fortinet,Navigational + Non branded,Gain,credential login,US,,350,36,3.9,20,31,11,0,6,4,2,,https://www.fortinet.com/resources/cyberglossary/login-credentials,,https://www.fortinet.com/resources/cyberglossary/login-credentials,2025-01-23 2:53:28,2025-05-29 18:05:08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Non branded,Gain,enter your username and password,US,"Sitelinks, Video preview",600,7,0.46,3,13,11,0,18,11,7,,https://www.fortinet.com/resources/cyberglossary/login-credentials,,https://www.fortinet.com/resources/cyberglossary/login-credentials,2025-01-08 3:21:40,2025-07-28 9:15:59,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Non branded,Gain,sso log in,US,"Sitelinks, Video preview",150,55,1.84,0,11,10,0,23,5,18,,https://www.fortinet.com/resources/cyberglossary/single-sign-on,,https://www.fortinet.com/resources/cyberglossary/single-sign-on,2025-01-22 2:59:41,2025-07-11 14:21:37,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Non branded,Gain,fil fap,US,Sitelinks,600,0,,,9,,0,,13,New,,,,https://www.fortinet.com/fr/products/wireless-access-points,,2025-07-22 18:15:16,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Non branded,Loss,ems sso,US,"Sitelinks, Video preview",1000,4,0.1,124,95,-29,0,5,5,,,https://community.fortinet.com/t5/Support-Forum/Configure-SSLVPN-to-use-SSO-using-EMS/td-p/254974,,https://docs.fortinet.com/document/forticlient/7.4.3/ems-administration-guide/60147/saml-sso-with-entra-id-as-idp,2025-01-30 1:55:03,2025-07-28 19:43:55,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Non branded,Loss,vendorshield login,US,,600,27,6.5,17,,,,9,,Lost,,https://vendor.fortinet.com/,,,2025-01-26 20:20:42,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Fortinet,Navigational + Non branded,Loss,intune admin portal,US,,4900,5,4.33,294,77,-217,0,6,12,-6,,https://docs.fortinet.com/document/forticlient/7.4.0/intune-deployment-guide/574785/accessing-and-logging-in-to-the-intune-portal,,https://docs.fortinet.com/document/forticlient/7.4.0/intune-deployment-guide/574785/accessing-and-logging-in-to-the-intune-portal,2025-01-28 2:43:49,2025-07-20 9:40:40,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
